FacilityType,Risk_Clean,Zip_Clean,Month,InspectionType_Clean,Result_Clean
2,3,39,11,5,2
2,2,10,11,1,1
2,2,30,11,2,2
7,3,40,11,3,2
2,3,6,11,1,0
2,2,29,11,4,2
24,1,20,11,8,2
2,2,35,11,1,5
2,3,18,11,2,4
2,3,29,11,1,0
6,3,45,11,4,1
1,2,36,11,3,2
2,2,15,11,2,4
2,3,39,9,3,1
1,2,6,11,1,0
2,2,15,11,2,4
7,3,40,11,2,2
6,3,47,11,4,2
3,3,7,11,2,1
1,1,51,11,6,1
2,3,26,11,5,2
2,3,16,11,2,2
2,3,20,11,2,0
4,3,37,11,4,2
2,3,23,11,1,0
7,3,14,11,4,2
2,3,15,11,2,1
2,2,31,11,1,1
2,3,51,11,6,1
1,1,18,11,2,2
5,3,47,11,2,2
4,3,55,11,4,1
7,3,14,11,3,2
5,3,5,11,2,0
2,3,54,11,5,0
4,3,40,11,4,1
2,2,56,11,4,1
2,3,20,11,2,2
2,3,28,11,4,1
11,3,9,8,2,6
4,3,6,11,2,0
7,3,14,11,4,2
2,3,22,11,1,0
6,3,47,11,2,0
1,2,37,11,6,1
2,3,21,11,4,1
1,2,25,10,5,2
1,2,26,11,2,0
3,3,7,11,2,0
2,3,15,11,2,2
4,3,38,11,2,2
2,3,6,11,3,0
2,3,24,11,1,6
4,3,5,11,2,0
2,3,28,11,1,1
0,3,56,11,1,5
4,3,40,11,2,1
2,3,12,11,2,2
2,2,18,11,6,2
2,3,19,11,2,2
3,3,20,11,4,2
2,2,10,11,2,0
2,3,54,11,1,5
2,3,20,11,2,4
2,3,20,11,2,6
2,3,7,11,2,2
2,2,30,11,1,5
2,3,28,11,1,5
2,3,8,11,1,5
7,3,14,11,2,2
2,3,32,11,2,0
2,3,30,11,1,0
7,3,5,11,2,2
2,2,27,11,2,6
2,3,27,11,2,6
7,3,40,11,2,2
1,2,36,11,1,0
2,3,32,11,2,2
2,3,16,11,5,0
7,3,24,11,1,2
1,2,6,11,2,4
2,3,51,10,6,1
4,3,5,10,4,1
5,3,27,11,2,2
1,2,6,11,3,2
6,3,47,11,2,1
1,2,51,11,5,2
2,2,57,11,5,2
2,3,20,11,2,2
2,3,7,11,5,0
2,3,55,10,4,2
2,3,19,11,2,2
16,3,12,11,1,0
2,2,23,11,4,1
7,3,40,11,1,0
25,3,27,11,2,2
4,3,26,11,4,1
6,3,47,11,2,2
4,3,40,11,2,0
1,1,9,11,8,2
2,3,28,11,4,1
2,3,34,11,8,1
1,3,29,11,4,0
7,3,40,11,3,0
4,3,31,11,2,1
2,3,26,11,2,0
2,3,19,11,2,2
2,2,29,11,4,0
4,2,40,11,2,1
2,3,16,11,2,2
2,3,30,11,4,2
3,3,7,11,2,0
2,3,12,11,2,2
2,2,31,10,8,1
3,3,7,11,2,2
2,3,23,11,5,0
4,3,31,11,2,2
6,3,37,11,2,2
1,3,29,11,8,2
1,2,19,11,2,6
4,3,37,10,2,1
2,3,5,11,1,2
2,3,21,11,4,2
3,3,4,11,2,0
2,3,27,11,2,2
1,3,29,11,4,0
2,3,5,10,1,2
2,3,53,10,8,2
2,3,7,10,6,1
2,3,12,10,6,2
2,2,5,10,1,2
26,3,39,10,2,2
2,2,26,10,3,2
2,3,41,10,8,2
2,3,16,10,5,0
2,2,2,10,8,1
21,1,52,10,1,1
2,3,23,10,5,1
2,3,53,10,1,2
2,3,12,10,4,1
5,3,37,10,2,2
4,3,27,10,2,2
2,1,12,10,3,2
7,3,14,10,2,2
2,3,5,10,1,2
2,2,18,10,1,2
2,2,18,10,2,4
6,3,47,10,2,1
1,1,36,10,1,6
4,2,40,10,2,1
2,3,12,10,4,2
4,3,31,10,2,2
2,2,26,10,5,2
15,3,42,10,2,4
27,3,5,10,1,2
6,3,47,10,2,1
1,3,29,10,5,2
7,3,35,10,2,2
2,3,56,10,8,1
1,1,23,10,5,0
3,3,16,10,2,0
5,3,47,10,2,4
7,3,14,10,2,2
4,2,40,10,2,2
2,3,26,10,1,2
7,3,14,10,2,0
1,3,54,10,5,2
2,3,5,10,1,2
3,3,51,10,4,2
6,3,47,10,2,2
1,1,18,10,3,1
1,3,29,10,2,0
2,3,9,10,8,0
1,2,36,10,1,5
1,3,29,10,4,1
2,3,35,10,8,2
2,3,19,10,2,2
2,3,26,10,2,2
4,1,6,10,2,2
2,3,4,8,2,4
1,2,37,10,3,0
2,3,21,10,4,1
6,3,6,10,2,1
7,3,14,10,2,0
7,3,45,10,3,2
2,3,28,10,1,1
5,3,16,10,2,2
5,3,32,10,2,6
4,1,39,10,2,4
2,3,53,7,5,6
2,2,23,10,2,0
5,3,47,10,2,1
2,3,12,10,8,2
2,3,4,10,2,2
2,2,15,10,2,2
5,3,16,10,2,2
2,3,24,10,5,0
2,3,19,10,2,2
2,3,13,10,7,1
2,2,45,10,8,2
2,3,28,10,1,1
2,1,21,10,1,5
0,2,20,10,1,5
2,3,47,10,1,0
2,2,15,10,4,2
2,2,21,10,1,0
3,3,42,10,4,1
2,3,15,10,4,1
7,3,9,10,1,2
2,3,4,10,2,4
21,1,31,10,3,1
15,3,14,10,2,0
2,3,6,10,5,2
2,3,24,10,1,0
2,3,10,10,6,2
6,3,16,10,4,2
2,3,4,10,1,0
24,1,20,10,5,0
2,3,27,10,2,4
2,3,9,8,4,1
2,3,24,10,1,0
3,3,42,10,4,2
11,3,47,10,2,2
5,3,32,10,2,2
2,3,15,10,2,1
3,3,7,10,2,0
6,3,47,10,2,2
2,3,27,10,1,2
2,3,9,10,1,0
6,3,40,10,3,1
3,3,16,10,2,2
4,3,42,10,4,1
2,3,26,10,4,2
2,3,20,10,2,2
7,3,25,10,2,2
4,3,55,10,4,0
9,2,29,10,4,0
4,3,31,10,2,1
11,3,40,10,1,0
2,3,26,10,2,4
2,3,19,10,2,2
2,3,7,10,7,2
2,3,53,10,8,2
2,3,53,10,8,6
28,1,15,10,2,2
27,3,23,8,2,6
1,2,29,10,2,0
2,3,50,10,5,2
3,3,5,10,4,2
2,3,20,10,2,0
6,3,47,10,2,0
5,3,47,10,2,2
1,2,47,10,5,6
2,3,10,9,4,2
2,3,12,10,4,2
7,3,39,10,2,4
1,1,40,10,1,2
7,3,14,10,2,2
0,3,5,10,1,5
15,3,16,10,2,2
7,3,38,10,2,2
7,3,35,10,1,1
1,3,31,10,5,2
2,3,53,10,4,2
2,3,41,10,8,2
2,3,5,10,1,5
2,3,21,10,4,1
2,3,15,10,2,2
2,3,50,9,5,0
2,3,24,10,5,2
5,3,19,10,2,2
4,3,4,10,2,2
2,3,12,10,2,2
4,1,4,10,2,1
4,3,6,10,4,1
9,2,29,10,2,0
2,3,14,7,1,5
1,2,28,10,4,2
2,3,24,10,1,2
5,3,16,10,2,2
2,3,56,10,5,0
1,1,45,10,1,0
2,2,17,7,1,6
4,3,34,10,2,2
8,3,7,10,4,2
7,3,43,10,2,1
1,2,9,10,8,2
7,3,14,10,1,0
4,3,4,10,2,2
4,3,40,10,2,1
4,3,31,10,2,2
2,3,12,10,2,2
0,4,57,10,1,5
3,3,7,10,4,1
15,3,19,10,2,2
2,3,6,10,1,0
